0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:11 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:23:10:16 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
